"""Company History""","""نبذة عن الشركة""",
"""Parent"" signifies the parent table in which this row must be added","""الأم"" يدل على الجدول الأصل الذي يجب أن يضاف هذا الصف",
"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة""",
"""amended_from"" field must be present to do an amendment.",يجب أن يكون الحقل &quot;amended_from&quot; حاضرًا لإجراء تعديل.,
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; ليس عنوان URL صالحًا لجداول بيانات Google,
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,تمت إضافة ${values.doctype_name} إلى قائمة الانتظار للتحسين,
&copy; Frappe Technologies Pvt. Ltd. and contributors,© فراب تكنولوجيز الجندي. المحدودة والمساهمين,
&lt;head&gt; HTML,HTML,
'*' is only allowed in {0} SQL function(s),'*' مسموح به فقط في {0} وظيفة (وظائف) SQL,
'In Global Search' is not allowed for field {0} of type {1},"""في البحث الشامل"" غير مسموح به للحقل {0} من النوع {1}",
'In Global Search' not allowed for type {0} in row {1},"""في البحث العام"" غير مسموح للنوع {0} في الصف {1}",
'In List View' is not allowed for field {0} of type {1},"لا يسمح ب""عرض قائمة"" للحقل {0} من نوع {1}",
'In List View' not allowed for type {0} in row {1},'في عرض القائمة' غير مسموح للنوع {0} في الصف {1},
'Recipients' not specified,لم يتم تحديد &quot;المستلمين&quot;,
'{0}' is not a valid IBAN,"""{0}"" ليس رقم IBAN صالحًا",
'{0}' is not a valid URL,"""{0}"" ليس عنوان URL صالحًا",
'{0}' not allowed for type {1} in row {2},&quot;{0}&quot; غير مسموح به للنوع {1} في الصف {2},
(Mandatory),(إلزامي),
"),I=t.anchor=_(","),I=t.anchor=_(",
** Failed: {0} to {1}: {2},** فشل: {0} إلى {1}: {2},
+ Add / Remove Fields,+ إضافة / إزالة الحقول,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - مسودّة؛ 1 - تأكيد؛ 2 - إلغاء,
"0 - too guessable: risky password.
<br>
1 - very guessable: protection from throttled online attacks. 
<br>
2 - somewhat guessable: protection from unthrottled online attacks.
<br>
3 - safely unguessable: moderate protection from offline slow-hash scenario.
<br>
4 - very unguessable: strong protection from offline slow-hash scenario.","0 - يمكن تخمينها للغاية: كلمة مرور محفوفة بالمخاطر.
<ر>
1 - قابل للتخمين للغاية: الحماية من الهجمات المخنوقة عبر الإنترنت. 
<ر>
2 - يمكن تخمينه إلى حد ما: الحماية من الهجمات غير المقيدة عبر الإنترنت.
<ر>
3 - لا يمكن تخمينه بأمان: حماية معتدلة من سيناريو التجزئة البطيئة في وضع عدم الاتصال.
<ر>
4 - لا يمكن تخمينه على الإطلاق: حماية قوية من سيناريو التجزئة البطيئة في وضع عدم الاتصال.",
0 is highest,0 أعلى قيمة,
1 = True & 0 = False,1 = صح & 0 = خطأ,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 العملة = [؟] الكسر
على سبيل المثال. 1 دولار أمريكي = 100 سنت",
1 Day,1 يوم,
1 Google Calendar Event synced.,تمت مزامنة حدث تقويم Google واحد.,
1 Report,1 تقرير,
1 day ago,منذ يوم واحد,
1 hour,1 ساعة,
1 hour ago,منذ 1 ساعة,
1 minute ago,منذ 1 دقيقة,
1 month ago,قبل شهر,
1 of 2,1 من 2,
1 record will be exported,سيتم تصدير سجل واحد,
1 row from {0},صف واحد من {0},User removed row from child table
1 row to {0},صف واحد إلى {0},User added row to child table
1 second ago,منذ ثانية واحدة,
1 week ago,1 قبل أسبوع,
1 year ago,منذ سنة,
2 hours ago,منذ ساعتين,
2 months ago,منذ شهرين,
2 weeks ago,منذ أسبوعين,
2 years ago,منذ عامين,
3 minutes ago,منذ 3 دقائق,
30 minutes,30 دقيقة,
4 hours,4 ساعات,
5 Records,5 السجلات,
5 days ago,منذ 5 أيام,
; not allowed in condition,; غير مسموح به في حالة,
"<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">
  Click here to learn about token-based authentication
</a>","<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">
  انقر هنا للتعرف على المصادقة المستندة إلى الرمز المميز
</أ>",
<b>{0}</b> is not a valid URL,<b>{0}</b> ليس عنوان URL صالحًا,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">يُرجى عدم تحديثه لأنه قد يؤدي إلى إتلاف النموذج الخاص بك. استخدم تخصيص طريقة عرض النموذج والحقول المخصصة لتعيين الخصائص!</div>",
